Company,Bar_Name,REF,Review_Date,Cocoa_Percent,Company_Location,Rating,Bean_Type,Broad_Bean_Origin
Silvio Bessone,Maya Belize,717,2011,67%,Italy,3,Criollo,Belize
Ambrosia,Belize,1494,2015,64%,Canada,3,Trinitario,Belize
Arete,Maya Mountain,1598,2015,70%,U.S.A.,3.75,Trinitario,Belize
Belyzium,"Belize south, low fermentation",1768,2016,83%,Germany,2.75,Trinitario,Belize
Belyzium,Belize south,1768,2016,78%,Germany,3,Trinitario,Belize
Belyzium,Belize south,1768,2016,83%,Germany,3.5,Trinitario,Belize
Bisou,Belize,1486,2015,86%,U.S.A.,3.25,Trinitario,Belize
Bowler Man,Maya Mountain,1267,2014,70%,U.S.A.,2.75,Trinitario,Belize
Brasstown aka It's Chocolate,Maya Mountain,1255,2014,70%,U.S.A.,3.75,Trinitario,Belize
Brazen,Maya Mountain,1518,2015,80%,U.S.A.,3.25,Trinitario,Belize
Burnt Fork Bend,Belize,1303,2014,72%,U.S.A.,3.25,Trinitario,Belize
Castronovo,"Maya Mtn, Batch 454, Heirloom",1724,2016,72%,U.S.A.,4,Trinitario,Belize
Choco Del Sol,Maya Mountain w/ nibs,1407,2014,75%,Germany,3,Trinitario,Belize
Choco Del Sol,Maya Mountain,1407,2014,82%,Germany,3.25,Trinitario,Belize
Dandelion,"Maya Mtn., Break Bar- Snark",1446,2015,70%,U.S.A.,3,Trinitario,Belize
Dandelion,Maya Mountain,1219,2014,70%,U.S.A.,3.5,Trinitario,Belize
Dick Taylor,Belize,955,2012,72%,U.S.A.,2.75,Trinitario,Belize
Ethereal,Belize,1275,2014,80%,U.S.A.,3,Trinitario,Belize
Feitoria Cacao,Maya Mountain,1736,2016,76%,Portugal,2.75,Trinitario,Belize
Isidro,Belize,1279,2014,72%,U.S.A.,3.25,Trinitario,Belize
Izard,"Maya Mountain, Toledo, Batch 29",1542,2015,70%,U.S.A.,3.5,Trinitario,Belize
Just Good Chocolate,Belize,1375,2014,70%,U.S.A.,3.5,Trinitario,Belize
Kto,Belize,1422,2014,72%,U.S.A.,3,Trinitario,Belize
Kto,Belize,1426,2014,90%,U.S.A.,3.25,Trinitario,Belize
Mast Brothers,Moho River,773,2011,70%,U.S.A.,3.5,Trinitario,Belize
Maverick,Maya Mountain,1367,2014,70%,U.S.A.,3.25,Trinitario,Belize
Meadowlands,Belize,1287,2014,70%,U.S.A.,3,Trinitario,Belize
Middlebury,Maya Mountain,1490,2015,80%,U.S.A.,3.5,Trinitario,Belize
Middlebury,Belize,1117,2013,80%,U.S.A.,3.25,Trinitario,Belize
Moho,"Toledo District, w/ nibs",1026,2013,73%,U.S.A.,3.25,Trinitario,Belize
Moho,Toledo District,1030,2013,72%,U.S.A.,3,Trinitario,Belize
Moho,"Umoho R., Toledo District, San Felipe",607,2010,67%,U.S.A.,2.75,Trinitario,Belize
Noble Bean aka Jerjobo,Moho Valley,1299,2014,75%,U.S.A.,3,Trinitario,Belize
organicfair,Maya Mountain,1161,2013,74%,Canada,2.75,Trinitario,Belize
Palette de Bine,Maya Mtn,1720,2016,72%,Canada,3,Trinitario,Belize
Ritual,"Toledo District, Maya",1089,2013,75%,U.S.A.,3.75,Trinitario,Belize
Sublime Origins,Moho Valley,1157,2013,78%,U.S.A.,3.25,Trinitario,Belize
Taza,Belize,1271,2014,68%,U.S.A.,3,Trinitario,Belize
Terroir,Belize,1478,2015,70%,U.S.A.,3.75,Trinitario,Belize
Zak's,"Belize, Batch 2",1578,2015,70%,U.S.A.,3.5,Trinitario,Belize
Lillie Belle,"Bolivia, Wild Thing",903,2012,68%,U.S.A.,3.5,Criollo,Bolivia
Lillie Belle,Wild Thing,947,2012,68%,U.S.A.,3.5,Criollo,Bolivia
Middlebury,Alto Beni,887,2012,75%,U.S.A.,2,Criollo,Bolivia
Oialla by Bojessen (Malmo),"Sylvestre, Oialla",761,2011,70%,Germany,3.5,Criollo,Bolivia
Rogue,"Silvestre, Batch 1, 2011",793,2011,75%,U.S.A.,3,Criollo,Bolivia
Sprungli (Felchlin),Alto Beni,1057,2013,70%,Switzerland,3,Criollo,Bolivia
Tocoti,"Wild Bolivian, Jungle Love",927,2012,77%,U.S.A.,3,Criollo,Bolivia
Castronovo,Bolivia,1101,2013,70%,U.S.A.,3,Trinitario,Bolivia
Akesson's (Pralus),"Monte Alegre, D. Badero",508,2010,75%,Switzerland,2.75,Forastero,Brazil
K'ul,"Bahia, Fazenda Camboa",1852,2016,70%,U.S.A.,3.75,Forastero,Brazil
Pierre Marcolini,"Bahia Brazil, Fazenda Sao Pedro",414,2009,72%,Belgium,3,Forastero,Brazil
Pralus,"Monte Alegre (Itacare), Brazil",105,2006,75%,France,3,Forastero,Brazil
Salgado,Bahia Superior,288,2008,70%,Argentina,3.5,Forastero,Brazil
Cao,Brazil,1808,2016,70%,U.S.A.,3.25,Trinitario,Brazil
Cravve,"Bahia, batch a1213",975,2012,65%,Australia,3.25,Trinitario,Brazil
Silvio Bessone,"Bahia, Scavina",729,2011,60%,Italy,3.25,Trinitario,Brazil
Stella (aka Bernrain),"Bahia, Agri-Forestal Plantation, 2010",859,2012,68%,Switzerland,2.75,Trinitario,Brazil
Pierre Marcolini,"Haut Penja, w/ nibs",1658,2015,70%,Belgium,3.25,Forastero,Cameroon
Bonnat,Trinite,24,2006,75%,France,3.75,Trinitario,Carribean
Valrhona,Caraibe,63,2006,66%,France,3,Trinitario,Carribean
Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",1181,2013,72%,U.K.,2.75,Trinitario,Colombia
Carlotta Chocolat,Arauca,1884,2016,65%,Colombia,3,Trinitario,Colombia
Carlotta Chocolat,Tumaco,1888,2016,65%,Colombia,3.25,Trinitario,Colombia
Carlotta Chocolat,Cordoba,1888,2016,65%,Colombia,3.25,Trinitario,Colombia
Carlotta Chocolat,Huila,1888,2016,65%,Colombia,3.5,Trinitario,Colombia
Guittard,Chucuri,15,2006,65%,U.S.A.,3,Trinitario,Colombia
Pralus,Colombie,40,2006,75%,France,3.5,Trinitario,Colombia
Willie's Cacao,Los Llanos,1227,2014,88%,U.K.,3,Trinitario,Colombia
Cacao Sampaka,"Mahali, Kasai",1908,2016,70%,Spain,3.5,Criollo,Congo
Artisan du Chocolat,Congo,300,2008,72%,U.K.,3.75,Forastero,Congo
Blanxart,"Congo, Grand Cru",1046,2013,82%,Spain,3.5,Forastero,Congo
Chocolate Makers,"Congo, Gorilla bar",1530,2015,68%,Amsterdam,3.5,Forastero,Congo
Ocelot,Virunga,1558,2015,70%,Scotland,3.75,Forastero,Congo
Original Beans (Felchlin),"D.R. Congo, Cru Virunga",331,2009,70%,Switzerland,3,Forastero,Congo
Raaka,Virunga,1708,2015,75%,U.S.A.,2.75,Forastero,Congo
Theo,Congo w/ nibs,903,2012,65%,U.S.A.,3.25,Forastero,Congo
Zotter,"Kongo, Highlands",883,2012,68%,Austria,3.25,Forastero,Congo
Zotter,Congo,749,2011,65%,Austria,3,Forastero,Congo
Caribeans,Costa Rica,841,2012,72%,Costa Rica,3,Forastero,Costa Rica
Caribeans,Costa Rica,845,2012,80%,Costa Rica,2.75,Forastero,Costa Rica
DeVries,Costa Rica,166,2007,77%,U.S.A.,3.5,Trinitario,Costa Rica
Fruition,Signature Blend,753,2011,66%,U.S.A.,3.25,Trinitario,Costa Rica
Maglio,Cuba,308,2008,70%,Italy,3.25,Criollo,Cuba
Benoit Nihant,Baracoa,1141,2013,74%,Belgium,3.5,Trinitario,Cuba
Bonnat,Cuba,629,2011,75%,France,3.5,Trinitario,Cuba
Pralus,Cuba,99,2006,75%,France,3,Trinitario,Cuba
Szanto Tibor,Baracoa,1704,2015,88%,Hungary,3.25,Trinitario,Cuba
Szanto Tibor,Baracoa,1263,2014,70%,Hungary,3.75,Trinitario,Cuba
