Gender,Grade,GRADENOPG,Entered,InternationalDomestic,Race,FinancialAid,DayBoarding,FreqHome,WindDown,NervousEnergy,OverReact,Relax,Intollerant,Touchy,Agitated,WindDownDASS,NervousEnergyDASS,OverReactDASS,RelaxDASS,IntollerantDASS,TouchyDASS,AgitatedDASS,DassTotal,StressLevel,Sports,SportsLevelFall,SportsWinterLevel,SportsLevelSpring,SportsHoursFall,SportsHoursWinter,SportsHoursSpring,SportsStress,SportsSchoolWork,ArtsBeyond,ArtsConcentration,FallProduction,WinterProduction,SpringMusical,ChamberChorus,FestivalChorus,Orchestra,ChamberOrchestra,JazzBand,WindEnsemble,AcapellaGroups,StudentDirectedScenes,FringeFestival,MusicLessons,ActivityHours,ActivityStress,ArtsPerformanceSchoolWork,ClubParticipation,ClubHours,ClubStress,CompetitiveClubParticipation,CompetitiveClubHours,CompetitiveClubStress,CompetitiveClubSchoolWork,StudentLeaderParticipation,StudentLeaderHours,StudentLeaderStress,FallClasses,WinterClasses,SpringClasses,FallAP,WinterAP,SpringAP,WinterGPA,GradeSatisfaction,ActivityTimeHW,GradedFair ,HWHours,SATCram,SATTutoring,SATStudyGuides,SATPracticeTests,SATNothing,BetterAssignments,ProtectedWeek,PressureGeneral,PressureExpectations,WorryFriends,FamilyComplications,FriendsComplications ,RomanticComplications,AmountSleep,MealsPerDay,DHLunch,DHDinner,NoLunchBlock,NoLunchHomework,NoLunchSports,NoLunchArtscommitment,NoLunchClubMeetings,NoLunchTeachers,NoLunchNA
Female,Senior,Senior,Freshman,Domestic,Other,No,Boarding,once a week,1 SOMETIMES,2 OFTEN,0 NEVER,1 SOMETIMES,0 NEVER,0 NEVER,1 SOMETIMES,1,2,0,1,0,0,1,5,Normal,Yes,Intramural,Not Applicable,Intramural,8-12 hours,Not Applicable,4-8 hours,none,often,No,,,,,,,,,,,,,,,,,,Yes,4-8 hours,rarely,No,,,,No,,,Five,Six,Five,3,3,2,3.5-3.7,Happy,4 hours,fair,Under 2,,,,,nothing,motivated to do better,more stress,some pressure,extreme pressure,a few times a week,very difficult,neutral,difficult,4 to 6 hours,2 meals,Yes,Yes,No Lunch Block,Homework,,,,,
Female,Senior,Senior,Junior,Domestic,Black or African American,Yes,Boarding,once a month,2 OFTEN,3 ALMOST ALWAYS,3 ALMOST ALWAYS,3 ALMOST ALWAYS,3 ALMOST ALWAYS,3 ALMOST ALWAYS,3 ALMOST ALWAYS,2,3,3,3,3,3,3,20,Extremely Severe,Yes,Intramural,Intramural,Intramural,4-8 hours,4-8 hours,4-8 hours,often,often,Yes,,,,,chamber chorus,festival chorus,,,,,Acapella groups,,,,4-8 hours,often,sometimes,Yes,less than 4 hours,none,No,,,,Yes,less than 4 hours,none,Five,Six,Five,2,2,1,3.0-3.3,Neutral,2 hours,neutral,4/6/2013,,regular tutoring/class,"regular use of a study guide/prep book (Barron's, Princeton Review)",regular practice tests,,Sad,much more stress,no pressure,extreme pressure,once a day,difficult,very easy,very difficult,4 to 6 hours,2 meals,No,No,No Lunch Block,Homework,Sports,Arts commitment,Club meetings,,
Female,Sophomore,Sophomore,Sophomore,Domestic,White,Yes,Boarding,once a term,1 SOMETIMES,1 SOMETIMES,1 SOMETIMES,1 SOMETIMES,1 SOMETIMES,1 SOMETIMES,1 SOMETIMES,1,1,1,1,1,1,1,7,Normal,Yes,Intramural,Intramural,Varsity,12-16 hours,8-12 hours,more than 16 hours,consistently,always,No,,,,,,,,,,,,,,,,,,Yes,less than 4 hours,none,No,,,,Yes,less than 4 hours,none,Five,Six,Five,1,1,1,3.3-3.5,Happy,2 hours,neutral,2/4/2013,,,,,nothing,motivated to do better,much more stress,extreme pressure,extreme pressure,a few times a week,neutral,neutral,difficult,6 to 8 hours,3 meals,Yes,Yes,,,,,,,Not Applicable
Female,Senior,Senior,Sophomore,International,Asian,No,Boarding,once a term,3 ALMOST ALWAYS,3 ALMOST ALWAYS,1 SOMETIMES,2 OFTEN,0 NEVER,2 OFTEN,3 ALMOST ALWAYS,3,3,1,2,0,2,3,14,Severe,Yes,Intramural,Intramural,Varsity,4-8 hours,8-12 hours,more than 16 hours,rarely,sometimes,Yes,,,,,chamber chorus,festival chorus,,,,,Acapella groups,,,,4-8 hours,rarely,never,Yes,less than 4 hours,none,No,,,,Yes,8-12 hours,often,Five,Five,Five,4,3,2,3.5-3.7,Neutral,3 hours,neutral,2/4/2013,,,,,nothing,indifferent,more stress,no pressure,extreme pressure,A few times a day,neutral,easy,very difficult,4 to 6 hours,2 meals,Yes,Yes,,,Sports,,,,
Female,Senior,Senior,Freshman,Domestic,Asian,No,Day,,1 SOMETIMES,1 SOMETIMES,1 SOMETIMES,1 SOMETIMES,0 NEVER,1 SOMETIMES,2 OFTEN,1,1,1,1,0,1,2,7,Normal,Yes,Intramural,Intramural,Junior Varsity,4-8 hours,4-8 hours,8-12 hours,rarely,sometimes,No,,,,,,,,,,,,,,,,,,Yes,less than 4 hours,none,No,,,,Yes,less than 4 hours,consistently,Five,Five,Five,3,3,2,3.5-3.7,Happy,2 hours,fair,2/4/2013,cram the night before,regular tutoring/class,,,,happy for others,more stress,some pressure,extreme pressure,a few times a week,easy,easy,difficult,6 to 8 hours,3 meals,Yes,Yes,No Lunch Block,,,,,,
Female,Senior,Senior,Freshman,International,Asian,No,Boarding,once a term,1 SOMETIMES,1 SOMETIMES,1 SOMETIMES,1 SOMETIMES,1 SOMETIMES,0 NEVER,0 NEVER,1,1,1,1,1,0,0,5,Normal,Yes,Intramural,Intramural,Junior Varsity,Not Applicable,Not Applicable,more than 16 hours,rarely,often,Yes,,,,,,,,,,wind ensemble,,,,music lessons,4-8 hours,consistently,always,Yes,more than 16 hours,rarely,Yes,more than 16 hours,rarely,often,Yes,8-12 hours,none,Six,Six,Six,6,6,6,3.3-3.5,Extremely Unhappy,3 hours,unfair,6 or more,cram the night before,,"regular use of a study guide/prep book (Barron's, Princeton Review)",regular practice tests,,motivated to do better,much more stress,no pressure,extreme pressure,a few times a week,difficult,easy,neutral,4 to 6 hours,2 meals,No,No,No Lunch Block,Homework,Sports,Arts commitment,Club meetings,,
Male,Sophomore,Sophomore,Sophomore,International,White,No,Boarding,once a term,1 SOMETIMES,2 OFTEN,0 NEVER,1 SOMETIMES,1 SOMETIMES,1 SOMETIMES,2 OFTEN,1,2,0,1,1,1,2,8,Mild,Yes,Intramural,Intramural,Junior Varsity,8-12 hours,8-12 hours,8-12 hours,rarely,never,No,,,,,,,,,,,,,,,,,,No,,,No,,,,No,,,Five,Six,Five,1,1,1,3.7-4.0,Happy,5 hours,fair,4/6/2013,,,"regular use of a study guide/prep book (Barron's, Princeton Review)",,,motivated to do better,about the same,some pressure,extreme pressure,a few times a week,easy,easy,neutral,6 to 8 hours,2 meals,Yes,Yes,,,,,,,Not Applicable
Male,Sophomore,Sophomore,Freshman,Domestic,White,No,Boarding,once a month,2 OFTEN,2 OFTEN,3 ALMOST ALWAYS,1 SOMETIMES,1 SOMETIMES,1 SOMETIMES,2 OFTEN,2,2,3,1,1,1,2,12,Moderate,Yes,Intramural,Thirds,Thirds,less than 4 hours,4-8 hours,8-12 hours,rarely,sometimes,Yes,,,,,,festival chorus,,,,,,,,music lessons,less than 4 hours,rarely,never,No,,,No,,,,No,,,Five,Five,Five,4,4,4,Above 4.0,Extremely Happy,4 hours,fair,4/6/2013,,,,,nothing,motivated to do better,more stress,some pressure,extreme pressure,almost never,neutral,easy,neutral,6 to 8 hours,3 meals,Yes,Yes,No Lunch Block,Homework,Sports,,,,
Male,Senior,Senior,Freshman,Domestic,White,No,Day,,2 OFTEN,2 OFTEN,2 OFTEN,1 SOMETIMES,1 SOMETIMES,2 OFTEN,1 SOMETIMES,2,2,2,1,1,2,1,11,Moderate,Yes,Intramural,Not Applicable,Intramural,4-8 hours,Not Applicable,4-8 hours,rarely,never,No,,,,,,,,,,,,,,,,,,No,,,No,,,,Yes,less than 4 hours,none,Five,Six,Five,3,4,4,3.5-3.7,Happy,2 hours,fair,4/6/2013,,,,,nothing,motivated to do better,more stress,some pressure,extreme pressure,once a week,easy,neutral,neutral,6 to 8 hours,3 meals,Yes,Yes,,,,,,,Not Applicable
Male,Junior,Junior,Sophomore,Domestic,White,Yes,Boarding,once a term,1 SOMETIMES,1 SOMETIMES,1 SOMETIMES,3 ALMOST ALWAYS,1 SOMETIMES,2 OFTEN,2 OFTEN,1,1,1,3,1,2,2,11,Moderate,Yes,Intramural,Not Applicable,Not Applicable,4-8 hours,Not Applicable,Not Applicable,rarely,often,Yes,,,winter production,spring musical,chamber chorus,festival chorus,,,,,,,,music lessons,more than 16 hours,often,sometimes,Yes,less than 4 hours,rarely,No,,,,No,,,Six,Six,Six,6,6,6,3.5-3.7,Neutral,3 hours,fair,4/6/2013,,regular tutoring/class,"regular use of a study guide/prep book (Barron's, Princeton Review)",regular practice tests,,motivated to do better,more stress,extreme pressure,extreme pressure,almost never,very easy,neutral,neutral,6 to 8 hours,3 meals,Yes,Yes,,,,,,,Not Applicable
