"","X","State","Age","Female","RaceWhite","Edu","College4Degree","MaritalStatus","LivingSituation","NumFinDepChildren","FourMoreFinDepChild","Incomecat","Income150K","IncomeApprox","Military","SpouseEmployment","SpouseMilitary","Employment","MostKnowledgeable","KnowledgeableBin","FinSat","RiskTaking","SpendingIncome","NegativeSavingBin","PositiveSavingBin","HandMouth","FinDifficulty","DifficultyBin","EmergencyFund","KidsCollege","FiguredRetirement","DropIncome","ComeUp2K","ComeUp2KBin","BudgetTimePeriod","BudgetBin","CreditRecord","RetirementWorry","LongTermPlan","CheckingAcctBin","SavingAcctBin","CheckingOverdrawBin","UsePrepaidCard","EmployerRetire","OtherRetire","HaveAnyRetire","RetireLoan","RetireHardshipWithdraw","FinInv","LaborIncomeBin","BusinessIncomeBin","OwnHome","HomeDownPmt","RetireContribute","MortgageBin","EquityLoanBin","HomeUnderWater","LateMortgage","NumCreditCards","PaidCreditCardFull","CreditCardCarry","CreditCardMinPmt","CreditCardLatePenalty","CreditCardOverLimit","CreditCardCashAdv","AutoLoanBin","UnpaidMedical","StudentLoans","FederalStudentLoans","PrivateStudentLoans","StudentLoanFigurePmts","CompleteEdu","StudentLoanLate","StudentLoanConcern","StudentLoanDoOver","DebtCollect","TooMuchDebt","TooMuchDebtBin","GoodFinance","GoodFinanceBin","GoodMath","GoodMathBin","FinancialKnow","FinancialKnowBin","FinEdu","ParentFinEdu","AnyFinEdu","QuestionM6","QuestionM6Correct","QuestionM7","QuestionM7Correct","QuestionM8","QuestionM8Correct","QuestionM9","QuestionM9Correct","QuestionM10","QuestionM10Correct","QuestionM31","QuestionM31Correct","QuizScore"
"3366",2682,"MD","Age 65+",1,0,"Some college with no degree",0,"Widowed","With Roommates",2,0,"At least $15,000 but less than $25,000",0,20000,0,NA,NA,NA,NA,NA,6,3,"Spending equal to income",0,0,1,"Somewhat difficult",1,0,0,NA,1,"Confident no",0,"Next year",1,"About Average",4,4,0,0,NA,"Sometimes",1,0,1,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,5,1,7,1,7,1,7,1,1,0,1,"Same",0,"*Less*",1,"*Fall*",1,"*True*",1,"*False*",1,"At least 10 yrs",0,4
"832",5173,"WI","Age 55-64",0,1,"High school graduate or equivalent",0,"Married","With Parnter/Spouse",0,0,"Less than $15,000",0,7500,0,"Self employed",0,"Not in Labor Force","Self",1,1,8,"Spending more than income",1,0,0,"Very difficult",1,0,NA,0,0,"Confident no",0,"Next few months",0,"Very bad",4,1,1,0,1,"Never",0,0,0,NA,NA,0,0,0,1,50,NA,1,0,0,"Never","0",NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,7,1,2,0,7,1,5,1,0,1,1,"*More*",1,"*Less*",1,"*Fall*",1,"*True*",1,"*False*",1,"At least 5 yrs and less than 10 yrs",0,5
"5403",6516,"NV","Age 65+",1,1,"High school graduate or equivalent",0,"Divorced","With Roommates",0,0,"Less than $15,000",0,7500,0,NA,NA,"Part-time",NA,NA,1,NA,"Spending equal to income",0,0,1,"Very difficult",1,0,NA,0,1,"Probably no",0,"Next few years",1,"Very bad",7,1,1,0,1,"Never",0,0,0,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,6,1,7,1,5,1,0,0,0,"*More*",1,"*Less*",1,"*Fall*",1,"*True*",1,"Don't Know",0,"At least 5 yrs and less than 10 yrs",0,4
"9192",15149,"UT","Age 55-64",1,1,"Associate's or other two year degree",0,"Married","With Parnter/Spouse",0,0,"At least $75,000 but less than $100,000",0,87500,0,"Self employed",0,"Full-time","Self",1,7,5,"Spending less than income",0,1,0,"Not at all difficult",0,1,NA,0,0,"Confidence yes",1,"Next 5-10 years",0,"Very good",6,6,1,1,0,"Never",1,0,1,0,0,0,1,1,1,5,1,1,0,0,"Never","1",1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,7,1,6,1,6,1,1,0,1,"*More*",1,"*Less*",1,"*Fall*",1,"*True*",1,"*False*",1,"Don't know",0,5
"8294",24134,"TN","Age 25-34",0,0,"Some college with no degree",0,"Single","Alone",2,0,"Less than $15,000",0,7500,0,NA,NA,"Part-time",NA,NA,5,1,"Spending equal to income",0,0,1,"Not at all difficult",0,0,0,0,1,"Confident no",0,"Next few months",0,"Bad",1,1,1,1,0,"Never",0,0,0,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,NA,"More than once",1,"Different actions",1,7,1,6,1,7,1,5,1,0,0,0,"Same",0,"Don't know",0,"Don't know",0,"Don't know",0,"Don't Know",0,"Less than 2 yrs",0,0
"4358",9723,"PA","Age 55-64",1,1,"High school graduate or equivalent",0,"Married","With Parnter/Spouse",0,0,"At least $50,000 but less than $75,000",0,62500,0,"Part-time",0,"Part-time","Self",1,8,8,"Spending less than income",0,1,0,"Not at all difficult",0,1,NA,1,0,"Confidence yes",1,"Next few years",1,"Very good",5,7,1,1,0,"Never",1,0,1,0,0,1,1,0,1,NA,0,0,0,NA,NA,"2-3",1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,7,1,6,1,6,1,0,1,1,"*More*",1,NA,NA,"*Fall*",1,"*True*",1,"*False*",1,NA,NA,NA
"2476",16064,"MS","Age 25-34",1,0,"Associate's or other two year degree",0,"Married","With Parnter/Spouse",1,0,"At least $50,000 but less than $75,000",0,62500,0,"Full-time",0,"Full-time","Self",1,1,1,"Spending more than income",1,0,0,"Somewhat difficult",1,0,0,1,1,"Probably no",0,"Next year",0,"Good",7,3,1,1,1,"Never",1,0,1,0,0,0,1,0,1,NA,1,1,0,0,"Never","4-8",0,0,1,1,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,0,7,1,7,1,1,0,4,0,0,1,1,"*More*",1,"*Less*",1,"Don't know",0,"*True*",1,"Don't Know",0,"At least 5 yrs and less than 10 yrs",0,3
"9639",2712,"AZ","Age 35-44",1,1,"High school graduate or equivalent",0,"Single","With Roommates",0,0,"Less than $15,000",0,7500,0,NA,NA,"Unemployed",NA,NA,1,5,"Spending equal to income",0,0,1,"Very difficult",1,0,NA,0,1,"Probably no",0,"Next 5-10 years",1,NA,NA,5,0,0,NA,"Sometimes",0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,1,0,0,0,0,"*More*",1,NA,NA,"Don't know",0,"*True*",1,"*False*",1,"*At least 2 yrs and less than 5 yrs*",1,NA
"9295",11292,"KS","Age 25-34",1,0,"Some college with no degree",0,"Married","With Parnter/Spouse",1,0,"At least $100,000 but less than $150,000",0,125000,0,"Full-time",0,"Not in Labor Force","Self",1,6,8,"Spending equal to income",0,0,1,"Somewhat difficult",1,1,0,1,1,"Confidence yes",1,"Next few months",1,"Very good",6,6,1,1,0,"Never",1,1,1,0,0,0,1,0,0,NA,1,NA,NA,NA,NA,"2-3",0,1,1,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,4,0,6,1,2,0,5,1,0,0,0,"*More*",1,"More",0,"Rise",0,"*True*",1,"*False*",1,"*At least 2 yrs and less than 5 yrs*",1,4
"1635",17508,"PA","Age 45-54",1,1,"Associate's or other two year degree",0,"Married","With Parnter/Spouse",0,0,"At least $50,000 but less than $75,000",0,62500,0,"Full-time",0,"Full-time","Self and more",1,7,8,"Spending equal to income",0,0,1,"Not at all difficult",0,1,NA,1,0,"Probably yes",1,"Next year",1,"Good",5,6,1,1,0,"Sometimes",1,1,1,0,0,1,1,0,1,NA,1,1,1,0,"Once","2-3",0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,5,1,6,1,6,1,6,1,0,0,0,"Same",0,"Don't know",0,"*Fall*",1,"*True*",1,"Don't Know",0,"Don't know",0,2
