Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Pedro Severino,27,113,419,379,32,94,18,0,11,46,0,0,34,109,0.248,0.308,0.383,0.69,87,145,9,1,0,5,1
2,1B,Ryan Mountcastle,24,144,586,534,77,136,23,1,33,89,4,3,41,161,0.255,0.309,0.487,0.796,112,260,12,4,0,7,2
3,2B,Pat Valaika,28,90,281,259,17,52,8,0,5,25,1,1,16,76,0.201,0.25,0.29,0.54,47,75,4,2,1,3,0
4,SS,Freddy Galvis#,31,72,274,249,36,62,12,1,9,26,1,0,18,58,0.249,0.306,0.414,0.72,94,103,5,3,2,1,1
5,3B,Maikel Franco,28,104,403,377,31,79,22,0,11,47,0,0,20,67,0.21,0.253,0.355,0.609,63,134,12,3,0,3,0
6,LF,Austin Hays,25,131,529,488,73,125,26,4,22,71,4,3,28,107,0.256,0.308,0.461,0.769,106,225,9,9,3,1,0
7,CF,Cedric Mullins*,26,159,675,602,91,175,37,5,30,59,30,8,59,125,0.291,0.36,0.518,0.878,135,312,2,8,1,4,3
8,RF,Anthony Santander#,26,110,438,406,54,98,24,0,18,50,1,1,23,101,0.241,0.286,0.433,0.72,92,176,11,4,1,4,0
9,DH,Trey Mancini,29,147,616,556,77,142,33,1,21,71,0,0,51,143,0.255,0.326,0.432,0.758,104,240,19,8,0,1,4
10,OF,DJ Stewart*,27,100,318,270,39,55,10,0,12,33,0,0,44,89,0.204,0.324,0.374,0.698,90,101,3,4,0,0,1
11,MI,Ramon Urias,27,85,296,262,33,73,14,0,7,38,1,2,28,76,0.279,0.361,0.412,0.774,111,108,3,6,0,0,0
12,LF,Ryan McKenna,24,90,197,169,20,31,6,1,2,14,1,0,24,74,0.183,0.292,0.266,0.559,54,45,1,2,2,0,0
13,3B,Kelvin Gutierrez,26,47,153,137,14,34,4,1,2,12,0,0,13,45,0.248,0.327,0.336,0.663,82,46,1,3,0,0,0
14,C,Austin Wynns,30,45,139,130,14,24,4,0,4,14,1,0,8,31,0.185,0.232,0.308,0.54,45,40,6,0,1,0,0
15,MI,Jorge Mateo,26,32,116,107,9,30,7,1,2,8,5,3,7,28,0.28,0.328,0.421,0.748,102,45,0,1,0,1,0
16,SS,Richie Martin,26,37,105,98,9,23,2,0,1,8,0,2,4,28,0.235,0.269,0.286,0.555,52,28,1,1,1,1,0
